,description
5376,"Several factors go into making this Chardonnay as extraordinary as it is. One is Carneros itself, which produces vibrant, crisp, fruit-filled grapes. Second is the Shafer approach of fermenting the wine in both stainless steel and oak barrels, giving a complexity of textures and brightnesses. The use of natural or wild yeasts may also contribute to complexity, while a firm decision against malolactic fermentation preserves vital acidity. The result is a compelling, layered wine whose tropical fruit, mineral, buttered toast and creme brulée flavors are in near-perfect harmony and balance."
5377,"Lush enough to drink now, with decanting, but this powerfully ripe Chard will benefit from limited aging. It's explosive in oak-infused pineapple, papaya, peach, green apple and Asian spice flavors, but right now the oak is not integrated with the fruit, making for a disjointed quality. Give it until mid-2008, and for a couple years after."
5378,"Dry, creamy and crisp in acidity, this has rich pineapple, lemon, lime and buttered toast flavors. It's easy to drink and enjoy."
5379,"A rather simple Chardonnay made in the modern style, with lots of flamboyance and flash, but not much subtlety. Strong and rich in pineapple and peach jam flavors, it's brightened with zesty acidity."
5380,"Scents of salted caramels, smoke and apple blossom make this wonderfully enticing. It's a straightforward, easygoing wine, but highlighted by fresh apple and pear notes that melt into richer, rounder flavors of nuts and cream."
5381,"This is a good, dry and racy Chardonnay. It's not rich or particularly fruity, but it is elegant, with mineral-infused suggestions of citrus fruits brightened with a bite of acidity."
5382,"Here's a county-appellated Chardonnay that shows how the art of blending can produce a really nice Chardonnay at a fair price. It shows bracing, cool-climate acidity and is quite dry, with a rich spicing of oak that gives a vanilla-cream smokiness to the peach and pineapple fruit."
5383,"Enormous in jammy apricot, peach, pineapple, Asian spice and sweet charred oak vanillins, this Burgundy-inspired Chard is a little sweet. But it provides enough acidity for balanced structure."
5384,"One word describes this Chardonnay: fabulous. It's really everything a California Chardonnay can deliver. Ripe tropical fruit, pear, green apple and honey flavors are wrapped into buttery, smoky oak. The richness is brightened by crisp acidity and a touch of minerals, showing its pedigree with every nuance. Drink soon, to enjoy its youthful beauty."
5385,"Simply astonishing for its price, this toasty, rich wine matches ripe flavors of peach, red apple and light tropical fruit. Thick, juicy, and seductive, it finishes with a lick of butterscotch."
5386,"Vintner Carr follows up on his great 2008 Reserve with this delicious bottling. In California, it's usually a cinch to get fruit this ripe and tropical, and easy to plaster on lots of new oak. What's hard is to fuse the elements seamlessly. This wine does, offering waves of Chardonnay opulence. It may have a touch of botrytis, but that's in its favor."
5387,"Lime-peel acidity marks this bone-dry, tart wine. The other flavors include steely minerals, pineapple crème brûlée and buttered toast. Drink now."
5388,"This Chardonnay has depth, starting with its unfolding nose of ripe Chardonnay fruit, minerals, hazelnut and citrus. The palate offers flavors of pear, citrus and grapefruit, its character refreshing and fruity but somewhat complex. An impressive white that can handle richer dishes."
5389,"Brisk and sprightly, with keen acidity that makes the mouth water. The basic flavors suggest ripe Meyer lemons, pineapples, Key lime pie, spicy Asian pear, vanilla and honeysuckle. A good, rich crowd pleaser at an affordable price."
5390,"Crisply acidic and very dry, with modest pineapple, lime and mineral flavors and a touch of leesy sourness wrapped into a cream mouthfeel. Drink now."
5391,"This is aromatic and enchanting, loaded with very pretty scents of citrus blossom and lime. The fruit blends sweet apple, lemon/lime and juicy white peach. It's a luscious Chardonnay that relies on the perfectly ripened fruit to deliver the flavors, and succeeds beautifully. All Dijon clones, with a splash of Viognier lifting up the nose."
5392,"Gallo has held this Chard more than 4 years before release; the reason may be an acidic tightness that still dominates the wine. It's deep in mineral-infused apricot and quince fruit. The barrel regimen consisted of 100% new oak. It's a big, absolutely dry, almost rasping wine, and may be one of those rare California Chards capable of aging. See what it does after 2008."
5393,"Sweet and sour, with candied pineapple and butterscotch flavors as well as brisk acidity, leading to a sugary finish. Okay as an everyday Chardonnay."
5394,"Tastes as sugary sweet as a pineapple, orange and mango fruit juice drink. There's no oak, so what you get is pure fruit."
5395,"A little thin for a Chardonnay, but bone dry and elegant, with lemon and lime flavors and a touch of tangy minerals. Zesty acidity provides a brisk, mouthwatering scour. Easy to drink, at an easy price."
5396,"This is a pleasurable but ultimately simple wine, crisp and appealing in rather sweet orange, pineapple and apple fruit juice flavors."
5397,"Dry, acidic and earthy, lacking the richness you want in a fine Chardonnay. Could almost be a Pinot Grigio, with its crisp citrus and mineral flavors."
5398,"Lots of rich pineapple, buttered toast, vanilla and cinnamon spice flavors in this Chard. It's made in an uncomplicated style to appeal to consumers who have made this kind of Chardonnay the most popular wine in America."
5399,"Buttered toast and caramel corn dominate this Chardonnay, which also features ripe pineapple and golden mango flavors. It's made in the popular style of ripe, oaky fruitiness."
5400,"Ripe, oaky and somewhat common. Shows all the bells and whistles of a Burgundian-style Chardonnay, with vanilla cream, pineapple tart and buttered toast flavors. But it's too soft for balance, and lacks complexity."
5401,"Oaky and dull, with flavors of sweetened pineapple juice that are heavily plastered with caramel and buttered popcorn. Needs greater restraint and subtlety."
5402,"A brilliant Chardonnay. It's powerful and ripe in fruit, offering a blast of pineapple, green apple, Key lime pie and Meyer lemon tart flavors, accented with the buttered toast of oak. As intense as the fruit is, it's balanced by keen acidity and a stony minerality. Defines the elegant, opulent Russian River style."
5403,"Enormously ripe and rich—this is honeyed, with citrus and tropical fruit flavors. It's creamy, too, with a butterscotch accent. The magic comes on the finish with a swirl of acidity and dry mineral. Decadent but never cloying, this defines the ripe California style."
5404,"Crisp and direct, showing bright, flamboyant pineapples, kiwis, figs, Meyer lemons and vanilla."
5405,"Tasty and rich, this unoaked Chardonnay is very ripe and crisp, with vanilla and honey touches to the candied lemondrop, pineapple and honeysuckle flavors. Drink now."
5406,"Savory on the nose and palate with notes of cooked apples, pears and spice, Silver Thread's Chardonnay is subdued in style but easy going for everyday enjoyment. A dry, medium bodied wine with a squirt of lemony acidity that brightens the mid-palate."
5407,"Aged in French oak, there's some captivating smoke, toast and butterscotch aromas on this medium-bodied Chard. The palate is on the leaner side without a lot of persistence or depth, but it's an elegant wine for everyday."
5408,"Simple, with slightly sweet aromas and flavors of buttered toast, popcorn and butterscotch Lifesaver candy drops. A disappointment for a bottling that's been far better in the past."
5409,"Somewhat simple and oaky, this Chard has green apple, pineapple cookie, buttered popcorn and vanilla flavors. It's a pretty wine made for drinking now."
5410,"A beautiful wine, this is rich in citrus, tropical fruit and green apple flavors, with a smoky jacket of oak. The acids and tannins lift it above the ordinary, as does a stony minerality that tastes of the soil."
5411,"This is arguably Firestone's best Chardonnay in many years—maybe ever. It's rich, creamy and powerful in Chardonnay flavor, flooding the mouth with flavors of ripe tropical fruit, apricot, buttered toast, vanilla cream and spice."
5412,"This is remarkable, with modest alcohol and a concentrated, ageworthy structure. Lime and pineapple flavors are enhanced with lively, gin-like botanicals. There is vivid acidity and a lick of butterscotch on the finish."
5413,"This is a beautiful Chardonnay—dry, sleek and refined. Beyond the subtle tropical fruit, citrus and green apple flavors is a steely minerality and lemony acidity that get the mouth watering. Drink now."
5414,"This winery has a good track record for producing rich, opulent Chardonnays. The cool 2010 vintage was beneficial, yielding a low alcohol wine with extraordinarily rich tropical fruit flavors and bright, graceful acidity. It saw a majority of new French oak, lending it a note of buttered toast, but the underlying wine is so big, it easily handles that weight."
5415,"Oak dominates this Chardonnay, with buttered toast and butterscotch notes offering an immediate impact. Underneath the oak tones are very rich, opulent flavors of pineapple and orange jam and lime tart. It's a bit jumbled now, but this may be a Chardonnay that can take some cellaring. Give it 3–4 years."
5416,"Beautiful, classic Green Valley Chardonnay, this shows bright, mouthwatering acidity and a steely minerality that make it savory and elegant. But there's also a deep, flavorful core of green apple butter, pineapple jam and orange-mango juice. Oak and lees aging lend a creamy, sourdough richness. Drink now."
5417,"Fogarty's basic '05 Chard shows an exciting crispness and minerality that, good as it is, makes you long for the single-vineyard bottlings to come. There's an elegant angularity to the wine despite the succulent pineapples, kiwis and new oak, and a brisk acidity that makes it finish vibrantly clean."
5418,"The 2006 Chardonnay is another excellent bottle from this Oregon négociant, offering ripe and luscious fruit flavors of pear, apple, quince and kiwi. As the wine broadens out across the palate, streaks of spice, nutmeg, honey and graham cracker appear. It retains its acidic underpinnings through a generous, creamy finish."
5419,"This refreshing Chardonnay entices with aromas of tropical fruit, citrus and fresh white flowers. The crisp style smacks of grapefruit and lemon, but it's well rounded. Food-friendly, the wine will pair well with seafood, chicken and spicy cuisine."
5420,"The wine's barrel aging comes through immediately, with its toasted nut and vanilla nose. On the palate, the wine is balanced—with its citrus fruit, spice and touch of flowers. Elegant and easy to love—a good use of oak."
5421,"The blend includes 2% Muscat, an experiment that may not be repeated, though it worked quite well, boosting the aromatics and adding pretty floral notes at the top. The fruit is solidly anchored in citrus, pear and peach; and the barrels add a pleasing toastiness to the finish. There's a hint of anise as well. Lovely balance and fullness throughout."
5422,"This is the winery's bells and whistles Chardonnay. Grown from inland fruit, in a vineyard near Ukiah, it's rich in buttercreamy peach, pear and pineapple flavors, with a spicy, racy finish."
5423,"A fruity, direct Chardonnay that will appeal to fans for its peach, pear and oak flavors. Not especially complicated, but a fine example of the variety at a good price."
5424,"Gets the job done with modest tangerine, pineapple and cream flavors. Nice and crisp and dry, but it's pretty thin."
5425,"Curiously perfumed with notes of roasted hazelnuts and fresh apples, this is a savory, dry Chardonnay. Full bodied in style with notes of nut oil and nut skins throughout, it ends with a hint of wood sap astringency on the finish."
5426,"Proper rather than exciting, this Chard was made classic style, with 100% barrel fermentation, 100% malolactic fermentation and plenty of lees. It's creamy and smooth, with modest flavors of peaches, pineapples and green apples."
5427,"The vineyard is on Frei Road, which is in the cooler, southern part of the appellation, and this wine shows how well a good vintage can ripen the grapes into tropical fruit directions while still maintaining vibrant acidity. But the oak drowns the terroir in caramelly, butterscotchy sweetness."
5428,"A bit obvious in ripe fruit and oak, with easy flavors of pineapples, apricots, vanilla cream and smoky caramel. But the price is right, and this wine, whose production was 20,000 cases, will please lots of people."
5429,"Easily as good as the winery's more expensive proprietary bottlings, this shows classic Russian River acidity and minerality, with flavors of tropical fruits, tangerines, golden apricots and limes. It's really rich, but classically dry, with a long, distinguished finish."
5430,"Direct, with smoky oak-infused flavors of ultra-ripe pineapples, oranges, pears and honeysuckle. Very bright acidity makes it mouthwatering."
5431,"Tropical fruits, flowers and citrus lead this appetizing Chardonnay from Peconic. On the palate, the wine has some depth, with lemon/grapefruit citrus, pear and apple. A good everyday white."
5432,"Comes down on the lean, hard, Chablis-like side of Chardonnay, with a steely spine of minerals and tangy acidity. This provides an elegant infrastructure to the subtle pineapple, green apple and lime zest flavors."
5433,"A well-balanced Chardonnay, this has flavors of tropical fruit, apricot and lemon candy, brightened by that famous Edna Valley acidity. This would make for a great apéritif."
5434,"Oaky and strong in jammy fruit, this Chardonnay has potent pineapple, tropical fruit and buttered caramel popcorn flavors. It's also quite acidic. Would benefit from greater control and nuance."
5435,"There's a fruit juice quality to this Chard, like an apricot, peach and pineapple blend you buy in the supermarket. It has refreshing acidity and a clean finish."
5436,"Nothing charming about this wine, which is sweet, acidic and fruity, like a Lifesaver pineapple and lemon candy. Pretty expensive for what you get."
5437,"There's a sour twinge on the nose that's reminiscent of sweet apple cider vinegar, but the dry, medium bodied palate is pleasant with fresh apple juice flavors and a touch of cream on the finish."
5438,"Patz & Hall has captured the cool-climate essence of southern Sonoma Chard with this dry, crisply acidic, and vibrantly fruity young wine. Might have benefitted from less new oak though, because the caramel and toast seem a little excessive."
5439,"It has very crisp acids and those kiwi and lime flavors that mark cool-climate Chards. Oak and lees aging add richer, creamier notes."
5440,"A decent, everyday Chardonnay. Tastes dryish, with pineapple and caramel flavors."
5441,"You won't miss the presence of oak in this Chardonnay. It's brilliantly forward, ripe and savory, with orange, mango and lime flavors. Natural acidity and a creamy, leesy richness bring extra layers of appeal, and the finish is thoroughly dry."
5442,"A good everyday Chardonnay that shows crisp acidity and the ultra-dryness and cleanliness of a well-made Central Coast Chard. Made for drinking now, with lime, white peach and mineral flavors."
5443,"This is a regional wine, but don't dismiss it because it doesn't have a vineyard designation. It shows the vibrant acidity of the Highlands, and the long, cool vintage has given exceptionally ripe flavors of pineapples, guavas and passionfruit. Your guests will love it."
5444,"Heavy and honey-sweet, with ultra-ripe flavors of pineapple jam, vanilla, caramel and buttered toast. Crisp acidity provides needed balance."
5445,"Rich and delicious, this has flavors of pineapple tart, lemon meringue pie, buttered toast and smoky butterscotch that are balanced by fine acidity and dry, firm minerality."
5446,"Full and fleshy, with a tropical edge, this is creamy in its vanilla and almond paste flavors. With its layers of depth and richness, this is a crowd-pleaser."
5447,"Passes muster for its tropical fruit and vanilla cream flavors. Turns a little cloying and sweet on the finish, though."
5448,"Savory, cooked apples spiked with apple cider vinegar mark the nose and palate of this simple, homespun Chardonnay."
5449,"Not much going on in this inexpensive wine. It's watery, with a sugary, soda pop sweet finish."
5450,"Sweet and oaky, in the modern style, with oodles of buttered toast, caramel corn, vanilla cream and pineapple jam flavors."
5451,"There's a bit of oak here, but not too much, giving a smoky, buttered toast richness to the orange, lime and pineapple fruit. It's a rich, flashy Chardonnay, with crisp acidity and a clean, spicy finish."
5452,"This is a clean, elegant and complex wine, brisk in acidity and dry in citrus and tropical fruit flavors."
5453,"This shows a fine balance of citrus and tropical fruit richness with a firm minerality, and the oak is pleasantly in the background. A touch of lees character gives it a Champagne-like doughiness."
5454,"Ripe and juicy, with pineapple, pear, apricot, vanilla and buttered toast flavors. This is a nice everyday Chardonnay. From Talley."
5455,"The aroma suggests a ton of oak, and that impression carries over to the flavors. Butterscotch, buttered toast, caramel, crème brûlée, they're all tasty, but you don't want them to dominate, and here, they do. The underlying flavors of pineapples are swamped."
5456,"Dry and tart, with flavors of pineapples, apples, vanilla and toast. A solid Chardonnay at an everyday price."
5457,"Smoky, sweet oak and vanilla dominate this wine, which also has flavors of mangoes, peaches and pears. The oak is simply too strong for the underlying fruit."
5458,"Way too oaky, dominated by vanilla, buttered toast and creme brulée flavors that feel heavy and imposed on the modest pineapple and ripe lime fruit. Made in the popular style."
5459,"This is crystal clear, fleshy and ripe, yet still graceful and refined. Mixed stone fruits are cut with yellow apple, the acids are natural and perfectly integrated. The wine was barrel fermented in a 50/50 mix of new and neutral, and there is just a hint of caramel in the extended finish."
5460,"Bright and lemony, this has tight acidity and layers of toasty caramel and vanilla. This will pair with a wide range of dinner options and would make for a worthy go-to midweek wine."
5461,"There's a lusciousness to this Chardonnay that makes it really easy and fun to drink. It's rich in orange marmalade, honey, buttered popcorn and vanilla flavors, brightened with crisp acidity."
5462,"Simple, sweet and cloying, with sugary flavors of pineapples, peaches and pears."
5463,"Vegetal, and the richer pineapple and vanilla cream flavors do nothing to make it go away. Through the dry, acidic mouthfeel, that taste of asparagus comes through."
5464,"Simple and very dry, with herb-infused pineapple flavors and unnatural acidity."
5465,"Not much reserve going on with this soft, boring Chardonnay. It's dry and heavy in pineapple and lime pulp flavors."
5466,"Dull and watery. Not much going on beyond the alcohol, although you'll find very modest citrus flavors."
5467,"In this price range, this is one of the classiest Chardonnays currently on the market. Brightened with fine acidity, it's flavors of pineapple, buttered toast and cream are delicious."
5468,"Good everyday value in a Chardonnay. Shows a wealth of buttered toast, pineapple, lemondrop and cinnamon flavors, in a creamy texture."
5469,"Rich and oaky, this Chard has flavors of vanilla custard, caramel, butterscotch, pineapple jam, Meyer lemons and pear tart with the crust. It's a crowd-pleaser that will appeal to legions of Chardonnay lovers."
5470,"A controversial wine due to its amazing power. It's just tremendous in apricot, peach, nectarine, marzipan and crème brûlée flavors, like some dainty from a great pastry chef. But this oversized quality makes it difficult to enjoy with food. Almost better on its own as a cocktail sipper."
5471,"Grapefruit, citrus and flowers on the nose are followed by a lively, slightly sweet array of fun flavors in this “early” wine. Released young, it has an effervescent quality that makes it a nice choice for a warm weather sip or accompaniment to dessert. Not terribly complex, but appealing."
5472,"A full nose of flowers and citrus is followed by quiet flavors of lemon and spice in this friendly Chardonnay from Keuka Spring. Subtle and easy, the wine will pair well with grilled fish or chicken salad."
5473,"Dry, streamlined and acidic, with suggestions of peaches, apples, vanilla, cream and cinnamon. A decent everyday Chardonnay with a touch of smoky oak."
5474,"Almost like a young Sauvignon Blanc, it's so acidic and juicy in citrus, lime peel, green apple, tangerine, fig and jasmine tea flavors. The wine was fermented entirely in stainless steel and did not undergo malolactic fermentation. Very enjoyable, and something different in Chardonnay."
5475,"Racy and pure, this Chard shows the bright lime, lemon and kiwi flavors of Edna Valley Chards, with a sleek undergirding of steely minerals. It's crisp and dry, although smoky oak lends caramel and vanilla notes."
5476,"You can almost smell the minerals and acids in this Chardonnay. The flavors verify the aroma, adding fruitier notes of limes, sweet apples and white peaches, complexed with the creamy, smoky nuances of new oak and sur lies aging."
5477,"This is very rich, with flashy oak that gives it a powerful buttered-toast flavor. Underneath the oak are notes of mango, lime and green apple, brightened by crisp acidity."
5478,"This is dry and crisp in mouthwatering acidity, and the tropical fruit flavors have a minerality that makes it savory."
5479,"Nuanced yet straightforward, this is deliciously simple in its approach. Notes of honey, vanilla and stone fruit shine most brightly, and the finish teases with a tropical misting of coconut."
5480,"An extraordinary Chardonnay whose complicated richness is balanced with tight acidity and a firm grounding of stony minerals. Brings to mind a great Chablis, with its zesty tang followed by elaborate layers of tropical fruits and pears. Utterly delicious, wildly appealing, a wine that will develop bottle interest over the next six years. Only 97 cases were produced."
5481,"Chardonnay doesn't get much riper or richer than this. Dazzles with pear jam, pineapple custard, crème brûlée, buttered toast and cinnamon spice flavors, and a firm grounding of minerals. Calls for the richest possible foods, like lobster. Drink now."
5482,"The best thing about this Chardonnay is the acidity. It's brisk and clean, and gives a zesty finish to the extraordinarily rich pineapple, papaya, lime and Meyer lemon flavors that are almost sweet, but aren't. A firm scour of minerals adds the necessary grounding to this complex wine. Drink now–2013, but not too cold."
5483,"Silhouette is Merryvale's small-production best of barrels blend from the winery's various vineyards. The '08 is a success, showing brisk acidity and new oak and yeast flavors and a creamy texture framing ripe pineapple, pear and mineral flavors. It's an elegant wine that shouldn't be served too cold."
5484,Has extracted pineapple jam flavors and an oaky blanket that doesn't taste natural.
5485,"A great, enjoyable Chardonnay, extremely rich and ripe, but perfectly balanced. Crisp coastal acidity provides a clean boost to the enormous tropical fruit and peach flavors. The oak is strong, but in keeping with the size of the fruit, providing crème brûlée, buttered toast and smoky meringue opulence."
5486,"Very rich, very ripe, an opulent Chardonnay that shows the greatness of this vineyard. Massive in pineapple tart, grilled peach and pear and green apple fruit, with decadent layers of crème brûlée and vanilla custard. Wonderful acidity makes all this richness clean and zesty."
5487,"If you like oak, you'll love the toast, caramel, butterscotch and crème brûlée flavors in this Chard. There's apricot and pineapple fruit, too, but that oak is the dominant taste."
5488,"An interesting, crisp and bone-dry Chardonnay that succeeds in offering plenty of complexity despite the absence of any oak influence. The flavors carry the load, with intense notes of apricots, Meyer lemons and guavas, and a wonderful minerality—like a lick of cold steel."
5489,"Too sweet, with jammy pineapple and oak flavors. Crisp acidity and some minerality help to restore balance, but  the sugary taste is off-putting."
5490,"There's a good wine in here, but it's buried under so much oak, it's hard to taste it. The flavors of caramel and butterscotch swamp the underlying pineapples. Oakophiles will love it."
5491,"Shows the bright, tart acidity of this fine coastal region, with signature flavors of pineapples, figs, dates, limes and vanilla. But finishes too sweet in white sugar to earn a higher score."
5492,"This elegant blend of stainless- and barrel-aged lots captures the fresh fruit flavors of red apples, kiwi and lime, letting just a hint of barrel toast creep into the finish. It's leesy and bracing, finished at 14.8% alcohol but tasting much lighter."
5493,"This wine starts out toasty, with spice, nuts and citrus in the nose and nutty spice on the palate. Vanilla and lemon add to the mix. A bit heavy-handed, but fans of oak will enjoy. Pair with fish, pasta and poultry."
5494,"Delicate citrus, spice and flowers lead this pretty Chardonnay from Macari. On the palate, attractive flavors of toast, citrus and fresh fruit are soft and subtle. A pretty wine for everyday cuisine."
5495,"An awkward Chardonnay that's too strong and exaggerated for balance. Shows New World flavors of superripe pineapple jam and vanilla custard, with a honey-sweet finish."
5496,"Lots of richness in this dry, minerally Chardonnay. It has forward flavors of peaches, pears, baked green apples and flint, while lots of new oak contributes honey and caramel notes."
5497,"Nutty and custardy, this is a full-bodied Chardonnay that emphasizes Chardonnay's textural richness when augmented by barrel fermentation and lees stirring. Toasted hazelnuts are balanced by hints of citrus. Drink now."
5498,"Really classic Russian River Chard, so elegantly structured and sleek, yet so flavorful. A wonderful structure of bright acidity and fine, toasty oak frames succulent flavors of pineapples, tangerines, green apples pears and minerals, leading to a long, richly spicy finish."
5499,"The underlying fruit smacks of lemon curd, peach pie and kumquats, with a keen, cold minerality. Well-charred oak and lees contribute the richest notes of butterscotch, vanilla and toast. Dry, crisp and elegant, this is one of the best Dry Creek Valley Chards I've ever tasted, but it's still not in the league of the best cool-climate bottlings."
5500,"There's a minerality to this Chard that makes it bracing, although it also shows the opulence of Fogarty's other '04s. A tang of gunmetal undergirds the tropical fruit and vanilla custard flavors that are wrapped into a creamy texture. Almost begs for shrimp, lobster, crab, the more richly prepared, the better."
5501,"Vine Ciff has become one of the most successful producers of Chardonnay in Napa Valley. The reason why, besides sourcing great grapes, is balance. Everything works in this wine, which is a mélange of rich tropical fruit, crisp acidity, a creamy texture, and sweet wood tannins."
5502,"Here's a wonderfully balanced Chardonnay. It's rich, ripe and oaky, with crisp cool-climate acidity boosting the pineapple and papaya fruit, but there's also a mineral, diesel note throughout that adds complexing interest and firmness. Should hold for five years."
5503,"A few years in the bottle are beginning to age this charming Chardonnay, although its brisk acidity and minerality remain. The pear, guava, nectarine and tangerine flavors are just starting to pick up a dried fruit character. Complex and savory, it's a very fine wine to drink now."
5504,"A beautiful Chardonnay, notable for its elegant structure. Perfect acidity and just a hint of tannins, much of it from oak barrels, provide the framework for the pineapple and kiwi fruit flavors, enriched with notes of cream and buttered toast."
5505,"A brilliant Chardonnay showing how well this region can ripen fruit while retaining brisk acidity. Oak barrels add an exotic touch of clove to the underlying pineapple fruit flavors. Feels rich and creamy, and aging on the lees provides a complex touch of sourdough. Drink now."
5506,"Very pure, focused, intense, a Chardonnay whose minerality and fresh acidity provide grounding and structure to the elaborate, decadently good flavors. Exotic, with waves of tropical fruit pastry, lemondrop candy, golden mango, pineapple crème brûlée, buttered toast and dusty Asian spices."
5507,"This is a very rich, opulent Chardonnay that fans of oaky California Chardonnay will love. With a creamy texture enhanced by yeasty lees, it's enormous in pineapple, honeysuckle, buttered toast and cinnamon flavors, with a clean undertow of minerals."
5508,"This is the most citrusy of Testarossa's '07 Chards, brimming with Meyer lemon, lime and pineapple flavors. Smooth, smoky oak and lees add complex layers of butter, cream and tart yeastiness. Brilliant but immature, the wine should come into its own after 2009."
5509,"Native yeast, weekly batinage (lees stirring) in 50% new barrels, and, most importantly, a superb vineyard—Stillwater Creek—make for the best Chardonnay yet from Sparkman. Yeasty and young, dense and loaded with fresh pear, toasted nuts and butter, this is seductive and immensely enjoyable."
5510,"Here's a nice, everyday Chard that shows the pedigree of its appellation in the balance of crisp acidity and ripe fruit. Shows peach, apple, apricot and smoky vanilla flavors that finish with a dusting of Asian spice."
5511,"The underlying wine here is so good in fruity flavor and zesty acidity, you have to wonder why the winery piled so much new oak on top. The Chard is dominated by caramel, vanilla cream and butterscotch."
5512,"Like the Pinot Gris, this is fairly weighty, with ample concentration and richness at its price point. Pear and melon flavors easily carry the light touches of spicy oak. Drink now."
5513,"A new Chard from this producer. It shows typical Napa characteristics of dryness and a dried herb earthiness, in addition to the apple, pear, oak and lees flavors. The texture is great, brimming with crisp acidity, yet the wine would benefit from richer fruit."
5514,"Puts all the pieces of the puzzle together, combining ripe tropical fruit, ample sweet oak and coastal acidity, but the picture is a little blurry. The wine is decadently ripe and obvious."
5515,"Simple and citrusy, this high-acid (7.2 grams) Chard has slightly sweet Meyer lemon, pink grapefruit, green pear and vanilla flavors. It's a clean, easy to like wine."
5516,"Simple and direct, with oaky flavors of pineapples, apricots and tropical fruits. Finishes slightly sweet."
5517,"Bizarre and exaggerated flavors of buttered popcorn and caramel dominate this wine, which otherwise has crisp flavors of pineapples. At this price, it will appeal to lots of people."
5518,"This wine starts with a showy nose of vanilla, nuts and oranges/citrus, leading into like flavors with a spin of spice. It's a bigger style Chardonnay that will pair well with richer dishes: think salmon, creamy poultry, steak."
5519,"A richly fruity, tropical-fruit-scented Chardonnay that offers plenty of weight and fruit at a reasonable tariff. Bits of butter, dried spices and citrus accent the ripe fruit, which finishes dry and crisp."
5520,"Rich and 100% barrel fermented, this delicious Chardonnay is thick and luscious, with buttered nuts, pineapple and candied citrus; a really concentrated wine with exceptional depth and density for the price. The oak is present and accounted for, but not at all intrusive; it's really a generously fruity wine with a big mid-palate. Outstanding value."
5521,"The best Alexander Valley Chardonnays, such as this, show flamboyant tropical flavors. Capture's '09 shows ripe, extravagant pineapple, mango, papaya, nectarine and lime fruit, with a grilled quality baked into a pastry dessert. It's a big wine framed by fine acidity. The oak appliqué is just about perfect."
5522,"A rich Chardonnay made in the popular style. It's almost sweet in pineapple jam, crème brûlée, buttered toast, honey and cinnamon spice flavors, while that bright Carneros acidity keeps it clean and lively."
5523,"This fancy, opulent Chardonnay is made in a certain Santa Rita style of high alcohol, which makes it enormously rich. It oozes pineapple, pear and lime jam fruit, while new oak adds buttered toast flavors and the glycerine from 15.5% alcohol makes the wine even creamier and sweeter. This is an inaugural vintage from the winery."
5524,"The oak sticks out with vanilla custard, brown sugar and buttered toast notes that currently dominate the underlying pineapple, white peach and green apple fruit flavors. Acidity is crisp and fine. This Chardonnay could benefit from a few years in the cellar."
5525,"A very fine Chardonnay, not just because it's so ripe and fruity, but more importantly because the underlying structure is so fine. Crisp acidity and some dusty tannins frame pineapple tart and zesty green apple flavors, enriched with winemaker interventions of sweet oak and creamy lees. Classy and delicious."
5526,"Combines rich, vibrant acidity with fruity intensity in a very clean, opulent wine. Offers waves of tropical fruits, honeysuckle, buttered toast and minerals, with a long, spicy finish. The extensive new oak is perfectly in keeping with the size of this crowd-pleaser. Now–2014."
5527,"The idea here was to make a white Burgundy-style Chardonnay with lots of oak. But the new oak is so strong that it overshadows what's actually a pretty nice wine underneath. You have to dive down through an ocean of smoky char, woody vanilla and sweet woodsap to find the basic peach and pineapple flavors."
5528,"A little obvious in the oak, which tends to overshadow the peach and apricot flavors. The finish is a mélange of fruit and spicy butterscotch."
5529,"This Chard is a little soft and simple, but likeable. It's got forward apricot, pineapple custard, vanilla and cinnamon spice flavors, and a creamy texture."
5530,"Frank rarely misses a mark and this wine is another example of the poised flavors one expects from this winery. The aromas are fresh but subtle, with a delicate spin of toasted oak. The wine offers a restrained and sophisticated profile that balances depth with a clean, measured use of oak."
5531,"Sweet in fruit and oak, with simple, candied flavors of pineapple jam and vanilla custard."
5532,"Dry, acidic and watery, with a suggestion of lemon and lime fruit."
5533,"Raw and simple, with lemon and lime flavors that taste unnaturally oaked in sweet smoky vanilla."
5534,"Steely, crisp and very dry, this Chard has a savory mineral underpinning to the lime, Meyer lemon, green apple and pear flavors. Shows real style and finesse through the long finish."
5535,"Just when this Chard seems simple and sweet, the fruit is overtaken by acidity and minerality, taking the tangerine, lime and mango flavors to the next level and making the wine complex and fascinating. Shows how exceptional winemaking can result in exceptional wine."
5536,"A new price point tier for K-J, in between Grand Reserve and Highlands Estates. Bright and racy in cool-climate acidity, with layered flavors of lemondrop candy, lemon chiffon pie and buttered toast. Delicious and savory. The grapes are from the Santa Maria Valley and the Los Alamos region."
5537,"Crisp and fine in coastal acidity, with bright flavors of pineapples, ripe pears and green apples, this would be a good Chardonnay, except for one thing. It's too sweet."
5538,"Pale and watery, with bare hints of lemon, pineapple and unripe melon. There's not much here except lemony water."
5539,"A little dark, heavy and sweet, not to mention prematurely old. The pineapple fruit is aging already, and there's a vegetal edge."
